"@timestamp","user.name",text,"user.location","user.screen_name",source,"user.profile_image_url"
"February 18th 2019, 19:13:23.000","🌷Anish Pandey🌷","RT @nehra_sharma45: गुरु मैं  तो हो गया jobless जा रहा हू पकिस्तान मुर्गियों का business करूंगा 
#PulwamaAttack 
#SidhuSacked 
#RemoveArtic…","प्रयागराज (इलाहाबाद) ",AnishPa59945475,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","http://pbs.twimg.com/profile_images/1081041102424006658/YgHgPzuh_normal.jpg"
"February 18th 2019, 19:13:22.000",24x7politics,"पुलवामा आतंकी हमले को लेकर समाजवादी पार्टी के अध्यक्ष #AkhileshYadav ने #PMModi  पर हमला बोला है। उन्होंने कहा कि आ… https://t.co/QFtXZ7ibVk",India,24x7Politics,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","http://pbs.twimg.com/profile_images/1087780190409740288/Ao_klrD1_normal.jpg"
"February 18th 2019, 19:13:21.000","Rowdy Rathore","RT @_HindustaniDiL: एक ऐसा प्रधानमंत्री जो वीर बलिदानियों को देवतुल्य समझ कर उनके पार्थिव शरीर की परिक्रमा करता है, उसपर विश्वास रखो।
अब जो…","महारानी लक्ष्मीबाई के शहर से ","CvsRathore_003","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","http://pbs.twimg.com/profile_images/1097043192153698304/PCpzQa58_normal.jpg"
"February 18th 2019, 19:13:19.000","s v pandian","RT @ashok777_kalam: #Breaking : புல்வாமா தாக்குதலுக்கு மூளையாக செயல்பட்ட தீவிரவாதி சுட்டுக் கொலை

* தீவிரவாதி அப்துல் ரஷித் காஜியை சுட்டுக்…",,svpandian11,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","http://pbs.twimg.com/profile_images/1043677331653455873/2T7z8pM7_normal.jpg"
"February 18th 2019, 19:13:18.000","ANUPAM SHARMA ADVOCATE","RT @goldithakurzira: @sherryontopp 1988 मामूली सड़क दुर्घटना पर सिद्धू ने
मार-मार कर बुर्जुग गुरनाम सिंह की जान ले ली थी। हमें बातचीत से मस…","अंबाला कैंटोनमेंट क्षेत्र, Amb",AnupamSharmaAdv,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","http://pbs.twimg.com/profile_images/1081109191173914624/JBjQoNwZ_normal.jpg"
"February 18th 2019, 19:13:18.000","Mayank pareek","भाजपा IT सेल के अध्यक्ष का शर्मनाक ट्वीट, आंतकी मार गिराने पर ‘सेना’ नहीं PM मोदी को क्रेडिट दिया 
#PulwamaAttack… https://t.co/CtjtyXdmHx",,MayankpareekINC,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","http://pbs.twimg.com/profile_images/1035477846590775296/bUGS6xwe_normal.jpg"
"February 18th 2019, 19:13:18.000","Vinod Singh","RT @NeetuGarg6: Jawan's daughter Supriya (10 years) who martyred in #PulwamaAttack returned to Kanpur to write her class 5 exams.

She wish…","Navi Mumbai, India","vinodsingh_75","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","http://pbs.twimg.com/profile_images/1052127864353484801/Pbhcu-Ty_normal.jpg"
"February 18th 2019, 19:13:18.000","Malik afzaal","RT @IM_Bukhari1: یہ ہے بھارت کا اصل اور مکروہ چہرہ جس کے اوپر اس نے جمہوریت کا لبادہ اوڑھ رکھا ہے
پلوامہ حملے کے بعد مسلمانوں پر تشدد کر کے…",,Alvikaka,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","http://pbs.twimg.com/profile_images/611059383762444288/rcyNMv78_normal.png"
"February 18th 2019, 19:13:17.000","Sujatha Durai","RT @Prakash24_7: This What Whole #India Is Waiting 💥💪

#IndianArmy Is Started To Attack Pakistan 😠 

Show The Power of INDIAN PEOPLE TEARS…","Chennai ",sujidurai,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","http://pbs.twimg.com/profile_images/1092339181240516609/2MEnC7wF_normal.jpg"
"February 18th 2019, 19:13:17.000","Keyur Patel07","For What? 
I think #PulwamaAttack  Samjota
Ye Jatane ke liye ki Pakistan Bekasoor hai!","Bilimora ","keyu_patel07","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","http://pbs.twimg.com/profile_images/1097694557410652165/bcoXEfxP_normal.jpg"
